employee_id;employee_name;gender;date_of_birth;email;phone;department;designation;city;state;join_date;salary;employment_status
1;Dev Kumer           ;Male  ;1973-01-31;esengupta@example.net        ;03170669074  ;Admin     ;Manager  ;Gudivada                    ;Bihar            ;2023-10-05;1016304;Active  
2;Anthony Bal         ;Male  ;2001-11-26;rajtarak@example.com         ;0837783533   ;HR        ;Manager  ;Ramagundam                  ;Andhra Pradesh   ;2024-08-07;791532;Active  
3;Quincy Minhas       ;Male  ;1973-04-15;xiti68@example.net           ;+914497869073;Admin     ;Manager  ;Vijayanagaram               ;Sikkim           ;2022-07-13;1053260;Resigned
4;Kavya Chadha        ;Female;1994-12-07;gademaya@example.com         ;00704999622  ;Admin     ;Analyst  ;Ahmedabad                   ;Tripura          ;2022-10-03;872209;Active  
5;Nidhi Varkey        ;Female;1988-06-16;                             ;0682883607   ;Operations;Analyst  ;Jehanabad                   ;Nagaland         ;2022-10-04;1056445;Resigned
6;Vedhika Parikh      ;Female;1993-04-06;aarav88@example.net          ;5790328921   ;HR        ;Manager  ;Patna                       ;Uttarakhand      ;2021-08-28;696978;On Leave
7;Anay Sethi          ;Male  ;1966-01-19;zaid41@example.net           ;+915412248244;Operations;Engineer ;Pondicherry                 ;Meghalaya        ;2025-02-01;809847;Active  
8;Arjun Muni          ;Female;1991-05-14;oviya34@example.org          ;08396030620  ;Admin     ;Analyst  ;Amroha                      ;Tamil Nadu       ;2025-05-14;1039185;On Leave
9;Thomas Varty        ;Male  ;1995-09-28;azaanrana@example.net        ;5604230411   ;Admin     ;Analyst  ;Bihar Sharif                ;Telangana        ;2022-05-28;650091;On Leave
10;Zayyan De           ;Female;1965-08-21;kallatriveni@example.org     ;9806351396   ;HR        ;Analyst  ;Kumbakonam                  ;Bihar            ;2024-05-17;959974;On Leave
11;Yamini Tata         ;Male  ;1966-03-26;neelima40@example.org        ;+915925634168;Finance   ;Executive;Deoghar                     ;Meghalaya        ;2025-08-03;663481;On Leave
12;Dhruv Baria         ;Female;1970-10-28;omkaarganesan@example.net    ;+914598455514;HR        ;Manager  ;Mahbubnagar                 ;Tripura          ;2025-03-20;319097;On Leave
