employee_id;employee_name;gender;date_of_birth;email;phone;department;designation;city;state;join_date;salary;employment_status
1;Dev Kumer           ;Male  ;1973-01-30;esengupta@example.net        ;03170669074  ;Operations;Manager  ;Gudivada                    ;Bihar            ;2023-10-04;960930;On Leave
2;Anthony Bal         ;Female;2001-11-25;rajtarak@example.com         ;0837783533   ;IT        ;Executive;Ramagundam                  ;Andhra Pradesh   ;2024-08-06;426183;Resigned
3;Quincy Minhas       ;Female;1973-04-14;xiti68@example.net           ;+914497869073;Finance   ;Engineer ;Vijayanagaram               ;Sikkim           ;2022-07-12;395986;On Leave
4;Kavya Chadha        ;Male  ;1994-12-06;gademaya@example.com         ;00704999622  ;HR        ;Manager  ;Ahmedabad                   ;Tripura          ;2022-10-02;678941;On Leave
5;Nidhi Varkey        ;Male  ;1988-06-15;tripti48@example.net         ;0682883607   ;Admin     ;Analyst  ;Jehanabad                   ;Nagaland         ;2022-10-03;1106684;Active  
6;Vedhika Parikh      ;Female;1993-04-05;aarav88@example.net          ;5790328921   ;HR        ;Engineer ;Patna                       ;Uttarakhand      ;2021-08-27;1010916;Active  
7;Anay Sethi          ;Male  ;1966-01-18;zaid41@example.net           ;+915412248244;Operations;Executive;Pondicherry                 ;Meghalaya        ;2025-01-31;321009;Active  
8;Arjun Muni          ;Female;1991-05-13;oviya34@example.org          ;08396030620  ;HR        ;Analyst  ;Amroha                      ;Tamil Nadu       ;2025-05-13;1133552;Resigned
9;Thomas Varty        ;Female;1995-09-27;azaanrana@example.net        ;5604230411   ;Finance   ;Executive;Bihar Sharif                ;Telangana        ;2022-05-27;807743;On Leave
10;Zayyan De           ;Male  ;1965-08-20;kallatriveni@example.org     ;9806351396   ;Operations;Analyst  ;Kumbakonam                  ;Bihar            ;2024-05-16;752413;Resigned
11;Yamini Tata         ;Female;1966-03-25;neelima40@example.org        ;+915925634168;Operations;Analyst  ;Deoghar                     ;Meghalaya        ;2025-08-02;839883;On Leave
12;Dhruv Baria         ;Female;1970-10-27;omkaarganesan@example.net    ;+914598455514;Operations;Executive;Mahbubnagar                 ;Tripura          ;2025-03-19;1111689;On Leave
13;Hemang Nagi         ;Female;1967-09-21;ybora@example.org            ;+915199619839;Finance   ;Analyst  ;Shimoga                     ;Kerala           ;2023-07-28;885485;On Leave
14;Tanvi Malhotra      ;Female;1972-05-22;merchantadvik@example.net    ;0161033962   ;Finance   ;Analyst  ;Hospet                      ;Goa              ;2023-02-10;914248;Active  
15;Harshil Saran       ;Female;1990-10-20;zehaan75@example.org         ;+915000495765;Finance   ;Engineer ;Rajkot                      ;Assam            ;2023-10-03;551743;On Leave
16;Isaac Krishna       ;Male  ;1979-09-14;qparekh@example.org          ;3433514171   ;Finance   ;Manager  ;Ambattur                    ;Madhya Pradesh   ;2023-09-01;372790;Resigned
17;Falak Grover        ;Female;1986-08-12;yatan51@example.net          ;9913303614   ;IT        ;Executive;Aurangabad                  ;Andhra Pradesh   ;2021-02-20;607994;Active  
18;Jagrati Tak         ;Male  ;1996-12-17;harrisonthaker@example.com   ;+918222254189;IT        ;Executive;Cuttack                     ;Gujarat          ;2022-04-06;779652;Active  
19;Diya Jha            ;Female;1977-03-08;rachita82@example.org        ;3417684878   ;IT        ;Analyst  ;Hyderabad                   ;Madhya Pradesh   ;2023-12-09;466870;On Leave
20;Aarna Sunder        ;Female;1966-09-20;dbahl@example.net            ;09292244696  ;Finance   ;Analyst  ;Pudukkottai                 ;Assam            ;2023-01-16;532577;Resigned
21;Abhimanyu Goel      ;Male  ;2001-01-13;xiti73@example.org           ;07736589430  ;HR        ;Executive;Sasaram                     ;Rajasthan        ;2024-03-11;1190355;On Leave
22;Yasti Jani          ;Male  ;1986-04-11;chandani85@example.org       ;7911989622   ;Finance   ;Manager  ;Purnia                      ;Gujarat          ;2025-11-25;404466;On Leave
23;Warda Ramesh        ;Male  ;1988-09-27;kvarma@example.net           ;0814141291   ;Operations;Manager  ;New Delhi                   ;West Bengal      ;2024-04-22;485660;On Leave
24;Mekhala Gala        ;Female;1987-03-17;ndate@example.com            ;+911698614436;Admin     ;Executive;Jhansi                      ;Mizoram          ;2024-10-15;980706;On Leave
25;Azaan Kibe          ;Female;1982-10-12;oscarmane@example.org        ;3449472857   ;HR        ;Manager  ;Bhilai                      ;Tripura          ;2022-11-01;411066;Resigned
26;Samarth Mander      ;Male  ;1972-06-01;;02185946858  ;Operations;Engineer ;Mumbai                      ;Bihar            ;2024-10-26;949794;Active  
27;Inaya Mody          ;Male  ;2001-10-04;ynori@example.net            ;9716638049   ;HR        ;Executive;Surendranagar Dudhrej       ;Punjab           ;2025-06-14;1028454;On Leave
28;Dalaja Garde        ;Female;1995-08-22;jagvivora@example.org        ;6966599173   ;Operations;Executive;Jaipur                      ;Maharashtra      ;2022-05-20;406824;Active  
29;Anamika Gokhale     ;Female;1970-01-20;pallaaishani@example.net     ;08427472780  ;Finance   ;Analyst  ;Sasaram                     ;Bihar            ;2024-08-25;556362;On Leave
30;Isha Bhavsar        ;Female;1995-03-03;galayashica@example.net      ;+911649438335;HR        ;Engineer ;Coimbatore                  ;Assam            ;2025-07-04;1192800;Resigned
31;Upadhriti Vaidya    ;Female;2003-01-03;gangulychameli@example.net   ;8459368627   ;Finance   ;Engineer ;Phagwara                    ;Karnataka        ;2022-12-12;1170811;Resigned
32;Yash Balasubramanian;Female;1992-06-15;rachana34@example.org        ;+912979294782;Operations;Executive;Durgapur                    ;Tamil Nadu       ;2024-10-21;311234;Resigned
33;Dayita Rattan       ;Male  ;1981-06-04;jhaveridalaja@example.org    ;+913657120090;HR        ;Engineer ;Visakhapatnam               ;Meghalaya        ;2025-07-21;479543;Resigned
34;Hema Maharaj        ;Male  ;1973-02-03;girishkapadia@example.com    ;+917762334789;Admin     ;Analyst  ;Rajpur Sonarpur             ;Manipur          ;2023-04-02;687894;Resigned
35;Watika Choudhry     ;Male  ;1979-08-12;batraalexander@example.org   ;05694362200  ;Operations;Executive;Ulhasnagar                  ;Sikkim           ;2025-09-02;507077;On Leave
36;Ladli Kumar         ;Male  ;1973-11-26;sherechavvi@example.org      ;+918082041613;HR        ;Analyst  ;Panchkula                   ;Rajasthan        ;2022-03-01;841714;On Leave
37;Rehaan Sem          ;Female;1991-07-31;;+919925698805;Operations;Manager  ;Siwan                       ;Gujarat          ;2025-08-14;604596;Resigned
38;Ekaraj Loke         ;Male  ;1969-12-23;peter12@example.org          ;+916001878515;Finance   ;Manager  ;Cuttack                     ;Nagaland         ;2021-05-04;737282;On Leave
39;Kabir Rana          ;Female;1995-06-01;vohraanamika@example.org     ;05140604524  ;HR        ;Analyst  ;Bhiwandi                    ;West Bengal      ;2023-08-22;1023612;Active  
40;Pavani Korpal       ;Male  ;1999-04-09;ganganigam@example.net       ;09712788988  ;Operations;Analyst  ;Jalna                       ;Telangana        ;2022-05-23;698186;Resigned
41;Kamala Ramachandran ;Male  ;2000-07-08;gunbir65@example.org         ;1048564554   ;Finance   ;Executive;Saharsa                     ;Mizoram          ;2021-02-16;1138457;Active  
42;Manthan Nadig       ;Male  ;1987-03-20;ekapad74@example.com         ;05619020879  ;Admin     ;Manager  ;Sambalpur                   ;Tamil Nadu       ;2025-12-08;375032;Active  
43;Janaki Prabhakar    ;Female;1992-06-15;;2024392126   ;Admin     ;Executive;Navi Mumbai                 ;Nagaland         ;2023-04-26;689280;On Leave
44;Samarth Lal         ;Male  ;1969-08-08;borateerth@example.net       ;+918609574339;IT        ;Executive;Noida                       ;Maharashtra      ;2024-11-25;562091;Active  
45;Ranbir Subramaniam  ;Female;1970-01-02;nikita30@example.net         ;6871698996   ;HR        ;Executive;Nagercoil                   ;West Bengal      ;2024-12-15;650818;Active  
46;Ranveer Mistry      ;Female;1965-06-07;mittalyauvani@example.net    ;08984868869  ;Operations;Manager  ;Bidhannagar                 ;Jharkhand        ;2022-03-03;340400;Resigned
47;Logan Gaba          ;Female;1982-04-04;samrabalhaar@example.com     ;06401106474  ;Finance   ;Engineer ;Ongole                      ;Tripura          ;2023-12-02;901404;Resigned
48;Tanmayi Dada        ;Male  ;1997-12-23;maanav62@example.org         ;+914529464846;HR        ;Manager  ;Bhiwani                     ;Karnataka        ;2025-03-10;627074;Active  
