transaction_id,employee_id,transaction_type,amount,payment_mode,bank_name,account_number,transaction_date,transaction_status
1,1,Claim_Payout,118816,Bank Transfer,Punjab and Sind Bank,MHSR3075001073408,2025-06-13,Success
2,1,Salary,122806,Bank Transfer,Bank of Baroda,SETW5272910286539,2023-04-25,Pending
3,1,Reimbursement,54720,Bank Transfer,Bank of Baroda,UBMO4137477064371,2025-10-20,Pending
4,2,Salary,143674,Cash,,,2023-11-21,Pending
5,2,Salary,108780,Cash,,,2023-12-03,Failed
6,2,Salary,38366,Bank Transfer,State Bank of India,FSRT0880674694520,2024-01-17,Pending
7,3,Salary,122172,UPI,South Indian Bank,RGEK2466517375976,2023-11-13,Pending
8,3,Reimbursement,25675,Cash,,,2023-09-17,Success
9,3,Salary,99910,Bank Transfer,ICICI Bank,SCAX7680946928523,2024-05-07,Failed
10,3,Reimbursement,75047,UPI,Nainital Bank,RTOE6885905583545,2024-04-26,Failed
11,4,Salary,131065,UPI,Union Bank of India,FCOV2936920837131,2024-12-19,Pending
12,4,Salary,107080,Cash,,,2025-10-20,Failed
13,5,Reimbursement,18622,UPI,Canara Bank,DYXX1778549008093,2025-01-17,Pending
14,5,Salary,89101,Bank Transfer,Bank of Maharashtra,GLZJ9278621976528,2025-11-02,Failed
15,5,Reimbursement,133709,UPI,Punjab National Bank,IQDI1497193968900,2024-12-07,Pending
16,6,Salary,15963,Bank Transfer,IDFC First Bank,ICJJ3554658575768,2026-01-14,Failed
17,6,Claim_Payout,34779,UPI,State Bank of India,TGHY4497245988122,2023-12-02,Failed
18,6,Claim_Payout,70866,UPI,Dhanlaxmi Bank,MPGO3747541755850,2025-11-12,Failed
19,6,Claim_Payout,31220,UPI,Central Bank of India,TRKO5708563635805,2026-01-01,Failed
20,7,Claim_Payout,89117,UPI,Dhanlaxmi Bank,KFAS4865092604266,2024-12-13,Pending
21,7,Salary,144809,UPI,Union Bank of India,KXNQ4618464017219,2023-10-31,Failed
22,7,Salary,122158,UPI,ICICI Bank,FRRF9490549941641,2023-08-19,Success
